Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,Mkt-RF
19260728,0.0121,0.1541,0.0438,-0.0096,0.0267,0.0061,-0.0302,0.0154,0.0682,0.0205,0.0263
19260828,0.038,0.0343,0.0264,0.0277,0.0242,0.0192,-0.008,0.040999999999999995,-0.0198,0.0393,0.0252
19260928,0.0095,0.0471,0.0097,-0.0357,-0.0061,0.0218,-0.0449,0.004,0.0175,-0.0004,0.0002
19261028,-0.0164,-0.0864,-0.04,-0.0106,-0.0489,-0.0043,-0.0127,-0.0097,-0.0299,-0.0303,-0.031
19261128,0.0481,-0.0052,0.042,-0.0077,0.0439,0.0132,0.0374,0.0514,0.0366,0.0191,0.0246
19261228,0.0067,0.0968,0.0308,0.0264,-0.0026,0.0171,0.0256,-0.0013,-0.0062,0.0286,0.0263
19270128,-0.0094,-0.0113,-0.0032,0.0101,-0.0139,0.0171,-0.034,0.047,-0.0201,0.0154,-0.0008
19270228,0.0307,0.0863,0.0552,0.0119,0.0391,0.0363,0.0428,0.0139,0.0434,0.0464,0.0426
19270328,0.0243,0.013999999999999999,0.0116,-0.061,0.0146,0.0526,0.0247,0.0059,0.0014,0.0079,0.0037
19270428,0.031,0.0294,0.006,-0.0529,0.0512,-0.0238,0.0203,0.0291,0.0139,0.0085,0.0043
19270528,0.0784,0.055999999999999994,0.0492,0.0444,0.0719,0.0305,0.0036,0.0374,0.0906,0.0581,0.0543
19270628,-0.0196,-0.0315,-0.0321,-0.0335,0.0287,-0.024,-0.0007,0.0022,-0.0385,-0.0222,-0.023
19270728,0.0465,0.1283,0.1173,0.0257,0.1181,0.0343,0.0921,0.0954,0.051,0.0591,0.0724
19270828,0.0219,0.0677,0.0184,-0.0019,0.0521,0.0015,0.1256,-0.0017,0.0302,-0.0154,0.0227
19270928,0.0502,0.0549,0.0476,0.0374,0.0138,0.0183,0.0488,0.0564,0.0805,0.0437,0.0444
19271028,-0.0099,-0.0468,-0.0703,-0.023,-0.0752,0.0203,-0.0608,0.0473,-0.0461,-0.0412,-0.0419
19271128,0.0658,0.0621,0.1062,0.0386,0.1043,0.0262,0.106,0.036000000000000004,0.061,0.0453,0.0673
19271228,0.0206,0.0754,0.0283,0.0012,0.0093,0.0111,-0.0017,-0.0067,0.0205,0.0164,0.0208
19280128,0.0032,-0.0359,-0.0073,-0.0209,-0.0065,0.0005,-0.0056,0.0245,0.0562,-0.0128,-0.0052
19280228,-0.0422,0.0099,-0.0199,-0.0045,-0.0078,-0.0063,-0.0163,-0.0171,-0.0115,-0.023,-0.0168
19280328,0.0397,0.2734,0.0762,0.0491,0.1881,0.0167,0.085,0.1052,0.0645,0.0524,0.087
19280428,-0.0062,0.0119,0.0126,0.1465,0.0201,0.03,0.0035,0.0214,0.1067,0.0387,0.0408
19280528,0.0065,0.0533,0.0343,-0.0554,0.0222,0.063,0.0356,0.0892,0.0126,-0.0002,0.0162
19280628,-0.0476,-0.043,-0.0547,-0.0438,-0.0538,-0.0578,-0.0418,-0.0348,-0.0373,-0.0473,-0.049
19280728,0.0144,0.0053,0.0154,0.0073,0.0029,-0.0135,0.0421,0.0236,-0.0152,-0.0041,0.006999999999999999
19280828,0.0521,0.0856,0.0801,0.0205,0.0975,0.0423,0.1136,0.1478,0.0597,0.0436,0.0646
19280928,0.0146,0.0768,0.0392,0.0484,0.0047,-0.0012,0.013000000000000001,-0.0177,0.0106,0.0189,0.0286
19281028,0.004,-0.0015,0.0379,0.0157,0.0138,0.0256,0.0392,-0.0049,-0.0035,-0.006,0.0168
19281128,0.0626,0.0409,0.1279,0.1705,0.1925,0.063,0.1357,0.0468,0.2164,0.0973,0.1166
19281228,-0.0058,-0.0137,0.0256,-0.0418,0.0708,-0.0044,-0.026000000000000002,-0.0033,0.0161,0.0033,0.0033
19290128,0.0294,0.0096,0.1099,-0.0804,0.1017,0.1304,-0.0404,0.0291,0.1338,0.0566,0.0499
19290228,-0.0264,-0.0056,0.0288,-0.0021,-0.0117,-0.0151,-0.0337,-0.0052,-0.024,-0.0062,-0.0041
19290328,-0.0505,-0.0192,-0.017,0.1047,0.042,0.0395,-0.0605,-0.0227,-0.036000000000000004,-0.0223,-0.0114
19290428,0.0135,-0.0153,0.022000000000000002,0.005,0.013000000000000001,0.0303,0.0249,0.012,0.0504,-0.0004,0.0144
19290528,-0.0441,-0.1543,-0.1026,-0.0594,0.0007,-0.092,-0.0757,-0.0808,0.0513,-0.0093,-0.0598
19290628,0.0478,0.0639,0.1273,0.0056,0.1653,0.1318,0.0741,0.0361,0.2237,0.0579,0.0942
19290728,0.0288,-0.0327,0.0398,-0.005,0.0882,0.1336,-0.0005,0.0254,0.1023,0.063,0.0425
19290828,0.0459,0.0284,0.0916,0.1174,0.1196,0.1059,0.0656,0.0363,0.0812,0.0707,0.0801
19290928,-0.0409,-0.0886,-0.0762,-0.0321,-0.0779,-0.017,-0.0541,-0.0733,0.0134,-0.0627,-0.0525
19291028,-0.109,-0.2934,-0.19899999999999998,-0.1036,-0.2825,-0.1587,-0.2467,-0.1848,-0.3102,-0.1238,-0.2011
19291128,-0.0869,-0.1758,-0.1443,-0.0666,-0.1963,-0.0984,-0.1227,-0.0888,-0.159,-0.1009,-0.126
19291228,0.0026,0.044000000000000004,0.0124,-0.0128,0.1061,0.0063,-0.0358,0.0103,0.0833,-0.0093,0.0141
19300128,0.0556,0.0573,0.0656,-0.0109,0.1029,0.0105,0.0277,0.0211,0.0822,0.0472,0.0545
19300228,0.0208,0.0222,0.0181,-0.0479,0.0731,0.0676,-0.0598,0.0261,0.0809,0.0269,0.0237
19300328,0.0185,0.1095,0.0688,0.1729,0.0791,0.0875,-0.0201,0.0555,0.0986,0.0443,0.0733
19300428,0.0037,-0.0798,-0.0773,0.0618,0.0184,-0.0473,0.0162,-0.0019,0.0304,-0.0618,-0.0227
19300528,0.0121,0.0401,-0.0208,-0.0354,-0.0458,0.002,-0.0109,-0.0148,-0.0122,-0.0136,-0.0155
19300628,-0.1147,-0.2261,-0.1665,-0.1566,-0.1992,-0.0861,-0.1547,-0.1348,-0.2013,-0.1217,-0.1602
19300728,0.0293,0.1125,0.0457,0.0516,0.0497,0.0107,0.0295,0.0592,0.0159,0.0352,0.0391
19300828,0.0213,-0.0207,-0.0026,-0.034,0.0107,0.0165,0.0415,0.0799,0.0157,-0.0036,0.0026
19300928,-0.095,-0.1582,-0.1405,-0.1511,-0.1842,-0.0548,-0.0981,-0.0894,-0.1214,-0.1096,-0.1265
19301028,-0.0507,-0.1099,-0.0969,-0.0673,-0.1738,-0.042,-0.0872,-0.0194,-0.08900000000000001,-0.0815,-0.0846
19301128,0.0002,0.049,-0.0074,-0.0361,-0.0338,-0.0341,0.0272,-0.0588,-0.0821,-0.0527,-0.0275
19301228,-0.0462,-0.0181,-0.0838,-0.1149,-0.10800000000000001,-0.0394,-0.1301,-0.0751,-0.0367,-0.0926,-0.0785
19310128,0.0557,0.0717,0.0327,0.0472,0.0461,0.0464,0.057999999999999996,0.0757,0.0649,0.1158,0.0608
19310228,0.0726,0.1608,0.1281,0.0529,0.2271,0.0591,0.1607,0.0877,0.146,0.0542,0.1081
19310328,-0.0211,-0.0356,-0.0692,-0.145,-0.0767,-0.0371,-0.0442,0.0167,-0.0336,-0.0967,-0.0655
19310428,-0.0537,-0.0753,-0.1413,-0.1264,-0.1302,-0.0433,-0.0482,-0.0374,-0.1003,-0.0976,-0.0992
19310528,-0.1138,-0.1509,-0.163,-0.1226,-0.1299,-0.0902,-0.0419,-0.1006,-0.1079,-0.1793,-0.1337
19310628,0.1078,0.1425,0.1706,0.1602,0.185,0.1012,0.0688,0.095,0.1195,0.1659,0.1368
19310728,-0.0369,-0.0224,-0.0961,-0.0341,-0.1026,-0.0494,-0.0126,0.0312,-0.0527,-0.0997,-0.0639
19310828,-0.0105,-0.0282,-0.0093,0.0898,0.037000000000000005,0.0079,0.0232,0.0,-0.0192,-0.040999999999999995,0.0005
19310928,-0.2523,-0.3247,-0.2982,-0.262,-0.3387,-0.2159,-0.28600000000000003,-0.2999,-0.3309,-0.2604,-0.2903
19311028,0.073,0.1083,0.0631,0.1368,0.1126,0.0426,0.1378,0.1098,0.1035,0.0088,0.0798
19311128,-0.0465,-0.0315,-0.0844,-0.1064,-0.1426,-0.0701,-0.0897,-0.0264,-0.0471,-0.1858,-0.091
19311228,-0.0993,-0.0939,-0.1566,-0.179,-0.1345,-0.0805,-0.1371,-0.0422,-0.1358,-0.1695,-0.1357
19320128,0.0178,-0.066,-0.0052,-0.0457,-0.1231,-0.0427,0.0014,-0.032,-0.0273,0.0673,-0.0128
19320228,0.0539,0.0225,0.0568,0.0748,0.0655,0.1141,0.0285,0.0253,0.0689,-0.0045,0.0551
19320328,-0.0627,-0.2061,-0.14400000000000002,-0.0068,-0.1412,-0.1006,-0.0834,-0.07,-0.0985,-0.1623,-0.1109
19320428,-0.1191,-0.2619,-0.2316,-0.127,-0.24600000000000002,-0.125,-0.1491,-0.2002,-0.1571,-0.2233,-0.1811
