Date,Energy,Material,Industrials,Cons-Discr.,Cons-Staples,Helth-Care,Financials,Inf-Tech.,Telecom,Utilities,S\&P500
19810130,-0.1227,-0.032,-0.0308,0.0038,0.0127,-0.0238,-0.0243,-0.11599999999999999,-0.0452,-0.0289,-0.0536
19810227,0.0024,0.003,0.0526,0.0446,0.0332,0.0015,0.0135,0.011000000000000001,-0.0222,-0.0359,0.0107
19810331,-0.0338,0.1203,0.0577,0.0718,0.0314,0.0192,0.07400000000000001,0.0422,0.0677,0.0197,0.0253
19810430,-0.0643,-0.0333,-0.0321,-0.0095,0.0104,-0.0015,-0.0028,-0.0054,0.0022,-0.0377,-0.0311
19810529,-0.057,-0.0047,-0.0078,0.031,-0.0063,0.0017,0.0297,-0.0197,0.0674,0.0065,-0.004
19810630,0.0151,-0.0419,-0.0296,-0.0047,-0.0212,-0.0501,0.0051,-0.1017,-0.0266,0.0035,-0.0235
19810731,0.0752,-0.0352,-0.0402,-0.0683,-0.0334,-0.0383,-0.0549,-0.08900000000000001,0.0103,0.0253,-0.0112
19810831,-0.0797,-0.0478,-0.0954,-0.0843,-0.0523,-0.0623,-0.0695,-0.1384,-0.0132,-0.0072,-0.0686
19810930,-0.1102,-0.0825,-0.0804,-0.0416,-0.0226,-0.0208,-0.0405,-0.0361,-0.0021,-0.0777,-0.0636
19811030,0.1199,-0.0267,0.0081,0.0347,0.055999999999999994,0.0459,0.0628,0.0207,0.0879,0.0337,0.0409
19811130,0.0445,0.0313,0.0439,-0.0135,0.0235,0.038,0.0433,0.0,-0.0246,0.0467,0.033
19811231,-0.0612,-0.0268,-0.0151,0.0015,-0.015,-0.016,-0.0565,-0.0044,-0.0135,-0.0307,-0.0359
19820129,-0.0942,-0.077,-0.0442,-0.0238,0.0069,0.0164,-0.0161,-0.0162,-0.0511,-0.0075,-0.0227
19820226,-0.1166,-0.0546,-0.0465,-0.0418,-0.0124,-0.0374,-0.0078,-0.1147,-0.0707,-0.0239,-0.0598
19820331,-0.0529,-0.0328,-0.0046,0.0533,0.0027,-0.0258,-0.0263,-0.0553,0.019,-0.0111,-0.0179
19820430,0.028999999999999998,-0.0041,0.0168,0.0468,0.0444,0.0447,0.0136,0.0124,0.0305,0.0343,0.0305
19820528,0.0061,-0.0537,-0.0562,-0.0277,-0.0383,-0.0491,-0.0738,-0.1221,-0.0603,-0.0264,-0.0392
19820630,-0.0639,-0.0305,-0.0269,0.0062,-0.0024,-0.0281,-0.0334,-0.0714,-0.0205,-0.0314,-0.0266
19820730,-0.1082,-0.0038,-0.0478,-0.0077,0.0027,0.0005,-0.0513,-0.0448,0.0022,-0.0588,-0.0305
19820831,0.067,0.1499,0.1479,0.1138,0.0786,0.0966,0.1161,0.1724,0.1261,0.1081,0.1199
