Date,ME1 BM2,ME1 BM3,ME1 BM4,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME5 BM2,ME5 BM3,ME5 BM4,SMB,HML,MOM
19970101,0.056277,0.064681,0.047074,0.038077,0.035792,0.012287,0.010935,0.018934,0.002566,0.035239,0.02107,0.028583,0.045602,0.02335,0.039862,0.034985,0.015735,0.050034,0.054594,0.052018,0.049362,-0.0182,-0.0165,0.0195
19970201,-0.050961,-0.018001,0.002713,-0.091669,-0.019164,-0.010416,0.012405,0.022778,-0.066164,-0.004411,0.005229,0.009644,0.014369,-0.039256,0.014218,0.009536,0.023453,0.035476,-0.007092,-0.000325,0.031239,-0.0253,0.052,-0.0205
19970301,-0.064917,-0.034059,-0.019569,-0.091204,-0.05807,-0.022696,-0.027188,-0.013985,-0.079622,-0.037071,-0.031568,-0.022704,-0.026616,-0.072133,-0.048155,-0.023842,-0.042936,-0.036301,-0.023882,-0.028657,-0.052716,-0.0048,0.0381,0.0096
19970401,-0.037345,-0.031359,-0.015253,-0.04188,0.001342,-0.006473,0.02077,0.005693,-0.013629,0.029556,0.034006,0.032689,0.015539,0.019184,0.028921,0.027242,0.027619,0.019183,0.034084,0.051366,0.037312,-0.0573,-0.0007,0.0492
19970501,0.125048,0.103198,0.083352,0.176683,0.128562,0.096654,0.097917,0.080238,0.153895,0.107434,0.066977,0.07037,0.082829,0.097637,0.072795,0.054288,0.071606,0.077508,0.071479,0.051091,0.052665,0.0465,-0.0387,-0.0516
19970601,0.047245,0.058261,0.078722,0.029816,0.046137,0.063304,0.058216,0.064131,0.040594,0.033544,0.0527,0.051033,0.057362,0.020943,0.042482,0.040479,0.036166,0.041847,0.038139,0.049064,0.048105,0.0126,0.0123,0.0262
19970701,0.051383,0.061068,0.060227,0.04984,0.058325,0.038379,0.052019,0.055019,0.051423,0.068239,0.0647,0.056235,0.062814,0.068033,0.068983,0.070936,0.072151,0.060594,0.077799,0.100291,0.065299,-0.0284,0.0082,0.0381
19970801,0.045861,0.031459,0.040043,0.038697,0.014316,0.043072,0.023837,0.035543,0.027649,0.032315,0.010537,-0.001899,0.010028,0.002184,0.001419,0.002062,-0.010054,0.004015,-0.035921,-0.057147,-0.054646,0.0766,0.0138,-0.0255
19970901,0.098439,0.098152,0.081335,0.075798,0.07952,0.078957,0.080377,0.066181,0.070601,0.069448,0.07447,0.066545,0.064317,0.052079,0.048777,0.059688,0.060317,0.040086,0.05571,0.060672,0.066881,0.0256,0.0001,0.0145
19971001,-0.03588,-0.038853,-0.010925,-0.061866,-0.046415,-0.039093,-0.029471,-0.03477,-0.062714,-0.036099,-0.036108,-0.022331,-0.037237,-0.065932,-0.057344,-0.023935,-0.038345,-0.060277,-0.039618,-0.03176,-0.021296,-0.0051,0.0195,-0.0038
19971101,-0.032477,-0.020247,-0.00148,-0.033198,-0.023372,-0.008634,0.005467,-0.005872,-0.032773,-0.027198,0.019885,0.026438,0.005965,0.007388,0.0068,0.035353,0.038097,0.029199,0.052306,0.029576,0.046689,-0.0503,0.0079,0.0029
19971201,-0.032497,-0.007661,0.000514,-0.007139,-0.018943,0.016888,0.037489,0.022848,0.009001,0.003795,0.029218,0.04773,0.028629,-0.017435,0.019511,0.035182,0.061795,0.009527,0.016547,0.03505,0.031665,-0.0201,0.0345,0.0395
19980101,-0.007047,-0.012779,-0.011338,-0.000144,-0.011135,-0.024477,-0.021644,-0.015739,-0.004146,-0.020238,-0.01708,-0.044568,0.026879,-0.018555,-0.000247,-0.024236,-0.012735,0.013512,-0.001936,-0.033741,0.001598,-0.0141,-0.0145,0.0011
19980201,0.068537,0.056638,0.058075,0.090871,0.08275,0.093116,0.070336,0.070867,0.089992,0.09345,0.070023,0.087816,0.087415,0.096227,0.075878,0.070484,0.057978,0.064667,0.061299,0.091163,0.070401,-0.0002,-0.0013,-0.0115
19980301,0.050984,0.054604,0.047769,0.045716,0.060458,0.025703,0.04327,0.046865,0.041881,0.030852,0.048911,0.043134,0.06466,0.037108,0.054293,0.051348,0.040876,0.075435,0.051283,0.05515,0.074355,-0.0065,0.0105,0.0215
19980401,0.028676,0.036033,0.027572,-0.00273,0.016071,0.009627,0.025722,0.018794,0.011255,-0.003159,0.005698,-0.001671,0.011969,-0.00112,-0.000768,0.00212,0.000415,0.011835,0.017807,0.015544,0.009843,-0.0002,0.0074,0.0078
19980501,-0.070828,-0.033421,-0.028889,-0.086356,-0.059026,-0.052124,-0.027693,-0.037226,-0.07373,-0.063131,-0.047839,-0.043334,-0.032385,-0.053988,-0.029697,-0.036266,-0.02175,-0.0354,-0.016508,-0.027127,-0.008779,-0.0311,0.0416,0.0188
19980601,0.012301,-0.015126,-0.00866,0.018799,-0.011907,-0.008281,-0.008419,-0.001716,0.037796,-0.018005,-0.014434,0.005239,-0.002731,0.011155,-0.000783,0.004739,0.012145,-0.001522,0.014284,0.027947,0.032923,-0.0368,-0.0233,0.0726
19980701,-0.075964,-0.055627,-0.061936,-0.075841,-0.072817,-0.095754,-0.082115,-0.073043,-0.081433,-0.072919,-0.080645,-0.089299,-0.073318,-0.057317,-0.05822,-0.053987,-0.050431,-0.042607,-0.003321,-0.025557,-0.040965,-0.0532,-0.0096,0.0368
19980801,-0.213028,-0.207051,-0.190243,-0.253591,-0.198084,-0.17632,-0.174527,-0.172554,-0.23344,-0.214113,-0.170264,-0.162602,-0.169918,-0.206053,-0.189416,-0.168526,-0.118326,-0.130364,-0.160486,-0.171971,-0.129933,-0.0502,0.034,0.0188
19980901,0.039351,0.038534,0.029636,0.119539,0.077264,0.051378,0.047387,0.04996,0.118945,0.04844,0.087067,0.048687,0.019896,0.06779,0.067935,0.069254,0.050962,0.061093,0.042529,0.045453,0.019951,-0.0084,-0.0331,-0.0071
19981001,0.028477,0.016928,0.029747,0.047026,0.060081,0.034686,0.03042,0.02627,0.043697,0.067095,0.04202,0.038414,0.044326,0.085425,0.09657,0.058807,0.038558,0.041293,0.090995,0.082557,0.070908,-0.0351,-0.0221,-0.0536
