Date,S1,S2,S3,S4,SH,L1,L2,L3,L4,L5,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,SMB,HML,MOM,UMD
19630701,0.0058,-0.0012,0.004,-0.0016,-0.016,-0.0214,0.0002,-0.0112,-0.0217,-0.0146,-0.0211,-0.021,-0.0112,-0.0242,-0.0207,-0.0108,-0.0185,-0.0244,-0.021,-0.0213,-0.0045,-0.0117,0.0103,-0.0044
19630801,0.0355,0.0187,0.0074,0.0214,0.0438,0.0515,0.044000000000000004,0.0425,0.0408,0.0798,0.0511,0.0437,0.0527,0.0444,0.049,0.0533,0.0458,0.059000000000000004,0.0677,0.0509,-0.0103,0.018000000000000002,0.011000000000000001,0.0502
19630901,-0.0297,0.0003,-0.0149,-0.0186,-0.0064,-0.0419,-0.0184,-0.0082,-0.0139,-0.0318,-0.0491,-0.0187,-0.0089,-0.0032,-0.0209,-0.0285,-0.0219,-0.0226,-0.0364,-0.0226,-0.0021,0.0008,0.0015,-0.0146
19631001,0.0107,-0.0083,0.0095,-0.002,0.0207,0.0091,0.0401,0.0202,0.0188,0.0365,0.0197,0.0022,0.024,0.0143,0.0078,-0.0055,0.0049,0.0212,0.0436,0.0034,-0.006999999999999999,-0.002,0.0312,0.0248
19631101,-0.0337,-0.0442,-0.018000000000000002,-0.0129,-0.0134,-0.0444,-0.0203,-0.0103,-0.0035,-0.0037,-0.0319,-0.018000000000000002,-0.0113,-0.0146,-0.0148,-0.0126,-0.0118,-0.0068,0.0054,0.0324,-0.0121,0.0162,-0.0076,-0.0083
19631201,-0.0323,-0.0065,-0.0105,-0.0195,-0.0133,-0.0097,-0.012,0.0079,0.0069,-0.0016,0.0032,0.0085,0.0127,0.0107,0.0018,-0.0045,0.0121,0.011000000000000001,0.0227,0.0585,-0.0217,0.0005,0.017,0.0188
19640101,0.0364,0.0266,0.0397,0.0383,0.0457,-0.0208,-0.0091,0.033,0.0122,0.0391,0.0021,0.0031,0.0216,0.0356,0.0291,-0.0064,0.0144,0.0107,0.0305,0.0302,-0.0027,0.0137,0.0106,0.0228
19640201,0.0287,0.0225,0.0191,0.0005,0.0427,0.0136,0.0148,0.0226,0.0176,0.0583,0.0005,0.0254,0.0159,0.0322,0.0375,0.0243,0.0092,0.0306,0.0732,0.0434,-0.0004,0.0279,0.0028,0.0146
19640301,0.0032,0.0097,0.018000000000000002,0.0324,0.0246,0.02,0.0294,0.033,0.054000000000000006,0.0582,-0.0095,0.0231,0.0429,0.0472,0.0641,0.0156,0.0233,0.0537,0.0606,0.0044,0.0094,0.0294,0.0077,0.0145
19640401,-0.0199,0.0213,-0.005,-0.0116,-0.0129,-0.0104,-0.0433,0.0021,-0.0177,-0.009000000000000001,-0.023,-0.0142,-0.0003,-0.0105,-0.0131,-0.0296,0.0047,0.0118,-0.0162,-0.0255,-0.0137,-0.0067,-0.0061,0.0017
19640501,-0.0166,-0.0119,0.0012,0.0008,0.0128,0.0285,0.0009,0.026000000000000002,0.0157,0.0351,-0.0073,0.0124,-0.0063,0.0111,0.0223,0.0092,0.0206,0.0105,0.0166,0.0384,-0.0075,0.0123,0.0262,0.0148
19640601,0.0161,-0.0005,0.0135,0.0051,0.0081,0.006,0.0139,0.012,0.0086,0.0188,0.0058,0.0192,0.0211,0.0201,0.0094,0.0086,0.0091,0.0111,0.0198,0.0279,-0.0031,0.0072,0.0049,0.0121
19640701,0.0054,0.0355,0.0294,0.0234,0.0444,0.0076,0.013000000000000001,0.0387,0.0284,0.0215,0.0212,0.0228,0.0282,0.0289,0.0094,0.0128,0.0333,0.0144,0.013000000000000001,0.0274,0.0032,0.0075,-0.003,0.0171
19640801,0.0093,-0.0218,-0.0203,-0.012,-0.0077,-0.0207,-0.0284,-0.0137,-0.002,-0.0194,-0.0311,-0.0104,0.0022,-0.0043,-0.023,-0.0137,0.0007,0.01,-0.003,-0.0094,-0.0009,0.0027,-0.002,-0.0141
19640901,0.0432,0.0377,0.0559,0.0246,0.0371,0.0326,0.02,0.0226,0.0181,0.0426,0.0111,0.0166,0.0291,0.0298,0.0343,0.0287,0.0277,0.0398,0.0438,0.0399,-0.0056,0.0172,-0.004,0.0277
19641001,0.0159,0.0006,0.0226,0.019,0.0309,-0.0177,0.0156,0.0182,0.0094,0.0119,0.0316,0.0318,0.015,0.0103,0.0243,0.0074,0.0079,0.0091,0.027000000000000003,0.0347,0.0037,0.0108,0.0015,0.006
19641101,-0.0044,-0.0069,0.0039,0.0045,0.0029,-0.0098,-0.0051,-0.0024,-0.0087,-0.0211,0.0121,0.0017,-0.0036,0.0019,-0.0012,0.0042,0.0113,-0.0127,-0.0089,-0.0502,0.0057,-0.0199,0.011000000000000001,0.0002
19641201,-0.0184,-0.0168,-0.0264,-0.0292,-0.0224,0.0112,-0.0024,0.0043,-0.019,-0.0185,-0.003,0.006,-0.0075,-0.0211,-0.012,0.0076,-0.0017,-0.0184,-0.0152,-0.0164,-0.0001,-0.0277,-0.006999999999999999,0.0006
19650101,0.0851,0.0555,0.0564,0.0693,0.0863,0.0738,0.0577,0.051,0.0543,0.0619,0.0497,0.0595,0.0502,0.055999999999999994,0.0669,0.063,0.037000000000000005,0.0511,0.0466,0.0653,0.0229,0.0057,-0.0139,0.0359
19650201,0.0147,0.0075,0.0229,0.0277,0.0315,0.0311,0.0376,0.0338,0.0305,0.0349,0.035,0.0461,0.0444,0.026000000000000002,0.0306,0.0111,0.0306,0.0343,0.026000000000000002,0.0136,0.0321,0.0034,0.0031,0.004
19650301,0.0143,0.0236,0.0091,0.0195,0.0289,0.0166,-0.0167,0.0041,0.0104,0.0021,-0.0047,-0.0072,-0.0072,0.012,0.0028,-0.0107,-0.0068,-0.0061,0.0009,0.0147,0.0186,0.0118,0.001,-0.0133
19650401,0.0429,0.0457,0.049,0.0375,0.0413,-0.0031,0.0436,0.0415,0.0436,0.047,0.0244,0.0268,0.0398,0.031,0.0651,0.0258,0.0279,0.0438,0.040999999999999995,0.0182,0.0113,0.0061,0.0256,0.0305
19650501,-0.0071,-0.0264,-0.0184,-0.0073,-0.0146,0.0093,-0.0162,-0.0116,-0.0066,-0.0248,-0.0074,0.0004,-0.0179,-0.0111,-0.0093,-0.0128,-0.004,-0.017,-0.006999999999999999,-0.037000000000000005,0.0008,-0.015,0.0054,-0.0075
19650601,-0.1258,-0.1105,-0.0981,-0.0832,-0.0987,-0.1069,-0.0869,-0.0936,-0.0878,-0.0848,-0.0709,-0.0961,-0.0879,-0.0884,-0.0871,-0.0689,-0.0696,-0.0811,-0.0893,-0.0877,-0.0406,0.0031,-0.0316,-0.0554
19650701,0.0206,0.0352,0.0291,0.0206,0.0393,0.0352,0.0097,0.0247,0.0338,0.0404,0.0079,0.042,0.0218,0.0408,0.0442,0.024,0.0278,0.0374,0.0262,0.0611,0.006999999999999999,0.0219,0.0407,0.0136
19650801,0.0227,0.0506,0.0513,0.0354,0.0358,0.0725,0.0357,0.0442,0.042,0.0373,0.07400000000000001,0.0484,0.0721,0.0321,0.0591,0.038,0.0321,0.0511,0.0273,0.0455,0.0281,-0.0087,0.0255,0.0276
