Date,Mkt-RF,SMB,HML
19970101,0.0498,-0.0193,-0.0143
19970201,-0.0049,-0.0329,0.057
19970301,-0.0502,-0.0044,0.0343
19970401,0.0404,-0.0574,0.0009
19970501,0.0674,0.0516,-0.0408
19970601,0.041,0.0119,0.0162
19970701,0.0733,-0.027,0.002
19970801,-0.0415,0.0733,0.0112
19970901,0.0535,0.0256,0.0029
19971001,-0.038,-0.008,0.0233
19971101,0.0298,-0.0511,0.0124
19971201,0.0132,-0.0266,0.0403
19980101,0.0015,-0.0102,-0.0165
19980201,0.0704,0.0026,-0.0078
19980301,0.0476,-0.0121,0.0154
19980401,0.0073,0.0003,0.0089
19980501,-0.0307,-0.034,0.0343
19980601,0.0318,-0.0332,-0.018
19980701,-0.0246,-0.0494,-0.0171
19980801,-0.1608,-0.0568,0.0356
19980901,0.0615,0.0006,-0.0342
19981001,0.0713,-0.0311,-0.0221
19981101,0.061,0.0121,-0.0316
19981201,0.0616,-0.0054,-0.042
19990101,0.035,0.0081,-0.0466
19990201,-0.0408,-0.0608,0.0191
19990301,0.0345,-0.0376,-0.0277
19990401,0.0433,0.0398,0.0234
19990501,-0.0246,0.0333,0.0236
19990601,0.0477,0.0315,-0.034
19990701,-0.0349,0.0255,-0.0048
19990801,-0.0138,-0.01,-0.0172
19990901,-0.0279,0.0336,-0.0342
19991001,0.0612,-0.0675,-0.0316
19991101,0.0337,0.0717,-0.0607
19991201,0.0772,0.0707,-0.084
20000101,-0.0474,0.057,-0.0175
20000201,0.0245,0.2119,-0.0894
20000301,0.052,-0.1682,0.0766
20000401,-0.064,-0.0693,0.0741
20000501,-0.0442,-0.0633,0.0501
20000601,0.0464,0.128,-0.0822
20000701,-0.0251,-0.0316,0.084
20000801,0.0703,-0.0065,-0.0147
20000901,-0.0545,-0.0189,0.0728
20001001,-0.0276,-0.0387,0.0571
20001101,-0.1072,-0.035,0.1253
20001201,0.0119,0.0073,0.0767
20010101,0.0313,0.0676,-0.0533
20010201,-0.1005,-0.0082,0.1258
20010301,-0.0726,0.0017,0.0652
20010401,0.0794,0.0061,-0.048
20010501,0.0072,0.0253,0.0334
20010601,-0.0194,0.0625,-0.0116
20010701,-0.0213,-0.0423,0.0535
20010801,-0.0646,0.0248,0.0233
20010901,-0.0925,-0.0625,0.0157
20011001,0.0246,0.0757,-0.0766
20011101,0.0754,-0.0048,0.0216
20011201,0.0161,0.0479,0.009
20020101,-0.0144,0.0118,0.0338
20020201,-0.0229,-0.0107,0.0221
20020301,0.0424,0.0414,0.0108
20020401,-0.052,0.0584,0.0396
20020501,-0.0138,-0.0326,0.0157
20020601,-0.0721,0.042,0.0004
20020701,-0.0818,-0.0522,-0.0371
20020801,0.005,-0.0294,0.0323
20020901,-0.1035,0.0239,0.0149
20021001,0.0784,-0.0344,-0.0407
20021101,0.0596,0.0323,-0.0151
20021201,-0.0576,-0.0001,0.0228
20030101,-0.0257,0.0128,-0.0086
20030201,-0.0188,-0.0046,-0.0133
20030301,0.0109,0.0093,-0.0215
20030401,0.0822,0.0064,0.0089
20030501,0.0605,0.0449,0.0011
20030601,0.0142,0.0175,0.0039
20030701,0.0235,0.0523,-0.0108
20030801,0.0234,0.027,0.0161
20030901,-0.0124,0.0071,0.0005
20031001,0.0608,0.0264,0.0192
20031101,0.0135,0.0199,0.018
20031201,0.0429,-0.0276,0.0158
20040101,0.0215,0.0253,0.0245
20040201,0.014,-0.0156,0.0086
20040301,-0.0132,0.0175,0.0024
20040401,-0.0183,-0.0173,-0.0307
20040501,0.0117,-0.0024,-0.0029
20040601,0.0186,0.0228,0.0123
20040701,-0.0406,-0.0385,0.0328
20040801,0.0008,-0.0156,0.0096
20040901,0.016,0.0301,-0.0007
20041001,0.0143,0.0013,-0.0029
20041101,0.0454,0.0372,0.0143
20041201,0.0343,-0.0007,-0.0018
20050101,-0.0276,-0.0172,0.0201
20050201,0.0189,-0.0055,0.0163
