Date,Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
19970101,0.041823395,-0.115336583,0.015371831,-0.01129123,0.098720804,0.023109683,-0.037846752,0.060987634,0.004629454
19970201,-0.015196959,0.016801696,-0.001971526,0.034343079,-0.113139782,0.005739362,0.022684332,-0.000354044,0.004081029
19970301,-0.057475584,-0.039476347,0.023761109,0.066418876,0.017555561,0.05133925,0.001961313,-0.052184142,-0.027209878
19970401,0.016137057,0.029732051,-0.047766849,-0.042953784,0.006721012,0.017518467,0.009838581,0.058375779,0.025235436
19970501,0.076275598,0.103863592,-0.015380181,0.03533835,-0.018578138,0.067906527,0.037138661,0.049228077,0.054291193
19970601,0.010397482,0.068215991,0.076045205,0.037109444,0.087353265,0.074898918,0.005389694,0.03825698,0.042538121
19970701,0.057855731,-0.036933259,0.010322985,0.090863293,0.050463334,0.008364371,0.038319785,0.071811303,0.038798275
19970801,-0.059827996,-0.093203423,-0.082818093,-0.105819593,-0.033366173,-0.099511285,-0.024722038,-0.066533452,-0.074107492
19970901,0.051131153,-0.02163665,0.098777874,0.070008051,0.137631622,0.095735153,0.0783125,0.044963953,0.047023365
19971001,-0.054383931,-0.099680082,-0.073894904,-0.076816604,-0.067586159,-0.012724784,-0.046263519,-0.034452103,-0.059887486
19971101,-0.037540664,-0.06793005,0.014148533,0.02767693,0.017630886,0.024715106,-0.003515888,0.041192018,0.010375063
19971201,0.018071751,-0.063797346,0.028255727,0.034539919,0.066313533,0.049259232,0.029362541,0.007600335,0.004895892
19980101,-0.025045807,0.082593917,0.028686955,0.023227424,0.084195317,0.031535754,0.040295293,0.005705092,0.020582574
19980201,0.077603094,-0.001369368,0.077065042,0.056807122,0.035240419,0.088349858,0.061112039,0.062975351,0.060364843
19980301,0.068221865,-0.074578223,0.104443945,0.060398752,0.189557469,0.014975186,0.044686231,0.04475318,0.035019334
19980401,-0.002225169,-0.010643538,0.025606725,0.030150334,-0.027231134,-0.011830776,-0.00585983,0.004663191,0.00259696
19980501,-0.019143774,-0.061527917,0.045043715,0.073467136,0.044914398,0.036190643,-0.044912306,-0.027112621,-0.019691212
19980601,-0.047339954,0.007443807,0.01653078,0.035160089,-0.056497182,-0.0064448,0.007339144,0.035907412,0.016552461
19980701,-0.078184718,-0.01973644,0.003313134,0.017125923,0.093301673,0.06648448,-0.028017447,-0.0169421,-0.008759416
19980801,-0.22512352,-0.120624219,-0.121433095,-0.170981678,-0.148459559,-0.1632259,-0.080556397,-0.1462612,-0.140518781
19980901,0.018382147,-0.033991676,-0.072542445,-0.019952592,-0.052832141,-0.093509826,-0.028656901,0.058477464,0.010328173
19981001,0.093858109,0.160881507,0.09618714,0.034855509,0.057904891,0.138252093,0.052647458,0.070219292,0.083054623
19981101,0.029429591,0.039064611,0.055845473,0.044860774,0.096187134,0.042614935,0.036519305,0.0608212,0.052245791
19981201,0.00393678,0.032011091,0.03440663,0.017943417,0.075112334,0.025676454,0.02348865,0.05197004,0.041676748
19990101,0.075604018,0.000610044,0.02217346,0.009746602,-0.059124471,-0.030107861,-0.018367504,0.03613173,0.014776519
19990201,-0.064184993,-0.028567403,-0.072345378,-0.089456083,-0.021563348,-0.03924592,0.014156641,-0.034966583,-0.033701296
19990301,0.03394296,0.132065964,0.011612521,-0.034126865,0.0316781,-0.01785687,0.023159072,0.034498648,0.034494968
19990401,0.094487928,0.035192432,0.019321088,0.057895254,-0.037009212,-0.009333501,0.030745702,0.02913244,0.032324442
19990501,-0.034619254,-0.062852118,-0.030123389,-0.067761286,-0.060697434,-0.057245007,-0.063256537,-0.030284521,-0.043594369
19990601,0.034519481,0.088130327,0.023230681,0.048561251,-0.029997019,-0.023130875,-0.005416915,0.046746626,0.039545592
19990701,0.000123501,0.093334986,-0.001518699,-0.022994679,-0.03932474,0.032629906,0.007045661,-0.039413745,-0.010069313
19990801,-0.02326627,-0.013466786,0.029483298,0.01033318,0.014944664,-0.007897886,-0.011949796,-0.013376762,-0.008864771
19990901,0.021782635,0.05420182,0.003465621,-0.020450425,0.013213961,-0.009124426,-0.024317699,-0.036709946,-0.016764827
19991001,0.060189482,0.036415414,0.048305917,0.047136492,-0.037917358,0.011473178,0.021028656,0.058342899,0.044902578
19991101,0.033251534,0.036435863,0.026269843,0.020861133,0.01668828,-0.014376483,0.00424622,0.01444146,0.021115201
19991201,0.137943351,0.055637509,0.107434787,0.164421448,0.138011709,0.014464696,0.049079226,0.062758468,0.073966557
20000101,-0.003804919,-0.049692032,-0.072763458,-0.041475677,-0.058250026,-0.116545498,-0.099480379,-0.060471538,-0.064160231
20000201,0.052813222,-0.032312461,0.083011419,0.097638927,0.115360783,-0.029006528,-0.039668417,-0.030737802,-0.004253684
20000301,0.082534217,0.076038616,0.004334292,-0.022823861,-0.06994086,0.074019327,0.065519339,0.092830027,0.062145725
20000401,-0.043451296,-0.081569258,-0.039489801,-0.093290353,-0.072532673,-0.041012689,-0.049652161,-0.039246032,-0.049179244
20000501,-0.025598641,-0.057304616,0.020279409,-0.037922981,0.036442475,0.048149391,-0.0416838,-0.033375489,-0.032254865
20000601,0.118892982,0.062308238,0.031208122,-0.009874312,0.060568074,0.031622887,0.00131756,0.017039896,0.026669833
20000701,0.023662933,-0.121557699,-0.022828785,-0.010695408,-0.049178111,-0.003583458,-0.000979182,-0.024821321,-0.035087871
20000801,0.08121401,0.058282197,-0.030980861,-0.052881332,-0.020286784,-0.029247813,0.002856351,0.045030496,0.025565129
20000901,-0.107644656,-0.056115897,-0.070289215,-0.059196749,-0.065380788,-0.061839015,-0.035165337,-0.061271804,-0.060081182
20001001,-0.094107098,-0.064448679,-0.030500689,0.000307111,0.016461234,0.001866826,-0.000716596,-0.014059629,-0.02370319
20001101,-0.096428018,-0.048029392,-0.053096165,-0.080474222,0.012155503,0.035078172,-0.066552135,-0.085925107,-0.067681348
20001201,0.014919435,-0.067304265,0.072012305,0.077819314,0.014430655,0.085474931,0.060454415,-0.008579212,0.009127334
20010101,0.042293516,-0.017949261,-0.004052932,0.031312337,0.011461322,-0.027175307,-0.022787728,0.029634277,0.012807733
20010201,-0.166079067,-0.051070263,-0.11804466,-0.088499391,-0.106436019,-0.072041516,-0.075275278,-0.096548377,-0.091469474
20010301,-0.099010977,-0.038797302,-0.075620003,-0.111062886,-0.068979295,-0.106657113,-0.055680772,-0.070643441,-0.07333317
20010401,0.064863098,0.061745024,0.083891615,0.059021546,0.043894928,0.014301957,0.0553227,0.070945921,0.06639023
20010501,0.011302676,-0.008425383,-0.076582602,-0.075336542,-0.097503739,-0.019713814,-0.041196271,-0.001501015,-0.020936468
20010601,-0.045991384,-0.065689501,-0.047220382,-0.013878541,-0.055973212,-0.046380264,-0.041360438,-0.029525007,-0.03837926
