Date,state
19630701,1
19630801,1
19630901,4
19631001,4
19631101,4
19631201,1
19640101,1
19640201,3
19640301,3
19640401,3
19640501,3
19640601,3
19640701,3
19640801,3
19640901,4
19641001,2
19641101,2
19641201,1
19650101,3
19650201,3
19650301,3
19650401,1
19650501,1
19650601,1
19650701,3
19650801,3
19650901,1
19651001,3
19651101,1
19651201,1
19660101,3
19660201,1
19660301,2
19660401,2
19660501,2
19660601,4
19660701,2
19660801,2
19660901,2
19661001,2
19661101,4
19661201,4
19670101,4
19670201,2
19670301,4
19670401,2
19670501,4
19670601,2
19670701,2
19670801,2
19670901,2
19671001,2
19671101,2
19671201,1
19680101,1
19680201,1
19680301,1
19680401,1
19680501,1
19680601,2
19680701,2
19680801,2
19680901,2
19681001,2
19681101,2
19681201,1
19690101,1
19690201,1
19690301,2
19690401,2
19690501,2
19690601,2
19690701,2
19690801,4
19690901,2
19691001,2
19691101,2
19691201,2
19700101,2
19700201,2
19700301,2
19700401,2
19700501,4
19700601,1
19700701,4
19700801,4
19700901,2
19701001,2
19701101,2
19701201,1
19710101,3
19710201,3
19710301,3
19710401,4
19710501,2
19710601,2
19710701,3
19710801,4
19710901,4
19711001,4
19711101,4
19711201,3
19720101,3
19720201,1
19720301,3
19720401,3
19720501,3
19720601,3
19720701,3
19720801,3
19720901,1
19721001,3
19721101,1
19721201,3
19730101,1
19730201,1
19730301,1
19730401,1
19730501,2
19730601,2
19730701,4
19730801,2
19730901,2
19731001,1
19731101,2
19731201,2
19740101,2
19740201,2
19740301,2
19740401,2
19740501,2
19740601,2
19740701,2
19740801,2
19740901,2
19741001,2
19741101,2
19741201,2
19750101,2
19750201,2
19750301,4
19750401,3
19750501,3
19750601,1
19750701,1
19750801,3
19750901,1
19751001,3
19751101,1
19751201,3
19760101,3
19760201,3
19760301,3
19760401,4
19760501,4
19760601,4
19760701,4
19760801,4
19760901,4
19761001,4
19761101,3
19761201,3
19770101,3
19770201,1
19770301,3
19770401,1
19770501,3
19770601,3
19770701,3
19770801,3
19770901,4
19771001,4
19771101,2
19771201,4
19780101,2
19780201,3
19780301,3
19780401,1
19780501,1
19780601,1
19780701,1
19780801,4
19780901,1
19781001,1
19781101,3
19781201,4
19790101,2
19790201,2
19790301,2
19790401,2
19790501,2
19790601,2
19790701,2
19790801,2
19790901,2
