Date,state
19930201,4
19930301,4
19930401,1
19930501,2
19930601,4
19930701,4
19930801,2
19930901,2
19931001,3
19931101,2
19931201,3
19940101,2
19940201,2
19940301,2
19940401,4
19940501,2
19940601,3
19940701,1
19940801,1
19940901,3
19941001,2
19941101,3
19941201,2
19950101,1
19950201,3
19950301,2
19950401,3
19950501,3
19950601,2
19950701,4
19950801,4
19950901,2
19951001,3
19951101,2
19951201,4
19960101,3
19960201,2
19960301,1
19960401,1
19960501,4
19960601,4
19960701,1
19960801,4
19960901,3
19961001,2
19961101,1
19961201,3
19970101,2
19970201,2
19970301,4
19970401,2
19970501,4
19970601,1
19970701,2
19970801,4
19970901,4
19971001,2
19971101,4
19971201,2
19980101,4
19980201,2
19980301,2
19980401,3
19980501,1
19980601,2
19980701,4
19980801,2
19980901,2
19981001,4
19981101,1
19981201,3
19990101,1
19990201,4
19990301,1
19990401,1
19990501,2
19990601,4
19990701,1
19990801,3
19990901,3
19991001,2
19991101,1
19991201,1
20000101,3
20000201,3
20000301,1
20000401,2
20000501,3
20000601,1
20000701,4
20000801,2
20000901,3
20001001,4
20001101,4
20001201,4
20010101,1
20010201,4
20010301,4
20010401,3
20010501,1
20010601,4
20010701,2
20010801,2
20010901,4
20011001,2
20011101,4
20011201,2
20020101,2
20020201,4
20020301,1
20020401,3
20020501,4
20020601,2
20020701,1
20020801,3
20020901,2
20021001,3
20021101,1
20021201,3
20030101,3
20030201,1
20030301,3
20030401,2
20030501,2
20030601,1
20030701,4
20030801,1
20030901,1
20031001,2
20031101,2
20031201,3
20040101,3
20040201,2
20040301,1
20040401,3
20040501,1
20040601,3
20040701,2
20040801,4
20040901,4
20041001,1
20041101,3
20041201,2
20050101,2
20050201,3
20050301,3
20050401,1
20050501,4
20050601,2
20050701,3
20050801,1
20050901,3
20051001,4
20051101,2
20051201,2
20060101,3
20060201,2
20060301,2
20060401,3
20060501,1
20060601,3
20060701,4
20060801,2
20060901,2
20061001,4
20061101,1
20061201,3
20070101,4
20070201,1
20070301,3
20070401,2
20070501,3
20070601,1
20070701,4
20070801,2
20070901,3
20071001,3
20071101,3
20071201,2
20080101,1
20080201,4
20080301,2
20080401,4
20080501,1
20080601,1
20080701,3
20080801,4
20080901,4
20081001,4
20081101,4
20081201,4
20090101,2
20090201,1
20090301,4
20090401,4
20090501,4
20090601,4
20090701,2
20090801,1
20090901,1
20091001,1
20091101,3
20091201,1
20100101,2
20100201,2
20100301,1
20100401,2
20100501,4
20100601,2
20100701,1
20100801,4
20100901,2
20101001,3
20101101,2
20101201,1
20110101,3
20110201,3
20110301,1
20110401,3
20110501,3
20110601,4
20110701,3
20110801,1
20110901,3
20111001,2
20111101,4
20111201,4
20120101,2
20120201,2
20120301,4
20120401,2
20120501,2
20120601,2
20120701,2
20120801,3
20120901,1
20121001,3
20121101,2
20121201,2
20130101,2
20130201,3
20130301,2
20130401,4
20130501,3
20130601,1
20130701,3
20130801,2
20130901,4
20131001,2
20131101,1
20131201,3
20140101,3
20140201,2
20140301,3
20140401,1
20140501,1
20140601,4
20140701,2
20140801,2
20140901,4
20141001,1
20141101,4
20141201,2
20150101,2
20150201,1
20150301,4
20150401,2
20150501,3
20150601,3
20150701,3
20150801,3
20150901,2
20151001,3
20151101,3
20151201,1
20160101,3
20160201,4
20160301,2
20160401,3
20160501,4
20160601,2
20160701,4
20160801,1
20160901,1
20161001,3
20161101,1
20161201,3
20170101,3
20170201,1
20170301,4
20170401,4
20170501,2
20170601,2
20170701,1
20170801,3
20170901,3
20171001,2
20171101,1
20171201,4
20180101,2
20180201,1
20180301,3
20180401,1
20180501,3
20180601,3
20180701,1
20180801,2
20180901,4
20181001,1
20181101,4
20181201,2
20190101,2
20190201,4
20190301,1
20190401,3
